image,label,vietnamese_label,texts,symptoms,visual_analysis,leaf_area_ratio,background_ratio,lesion_area_ratio,annotation_confidence,metadata_quality,weather,humidity,temperature,severity,growth_stage,location,farmer_note
dataset/raw/BrownSpot/IMG_20190419_103510.jpg,BrownSpot,Đốm nâu,Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều. | Lá có các đốm nâu hình oval với viền vàng nhạt.,vết cháy màu nâu | lá khô từng vùng | đốm nâu nhỏ trên lá | mép lá chuyển nâu,Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.9102,0.0898,0.4934,0.93,high,rainy,89,22,severe,booting,Hai Duong,Triệu chứng lan nhanh trên ruộng.
dataset/raw/BrownSpot/IMG_20190419_103527.jpg,BrownSpot,Đốm nâu,"Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Lá có các đốm nâu hình oval với viền vàng nhạt. | Các vết bệnh màu nâu đậm xuất hiện trên phiến lá lúa. | Lá được chụp trên nền trắng giúp quan sát tổn thương rõ hơn. | Ảnh cho thấy cận cảnh phần lá, nhấn mạnh tổn thương và cấu trúc mô lá.",vết cháy màu nâu | đốm nâu nhỏ trên lá | mép lá chuyển nâu | phiến lá xuất hiện đốm tròn,Phiến lá được chụp rõ ràng trên nền sáng trắng. | Ảnh chụp cận cảnh một phần phiến lá. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác.,0.0977,0.9023,0.0019,0.74,low,cloudy,80,29,mild,seedling,Nam Dinh,Nhiều lá xuất hiện triệu chứng tương tự.
dataset/raw/BrownSpot/IMG_20190419_103531.jpg,BrownSpot,Đốm nâu,"Bề mặt lá xuất hiện các tổn thương màu nâu sẫm. | Các vết bệnh màu nâu đậm xuất hiện trên phiến lá lúa. | Lá có các đốm nâu hình oval với viền vàng nhạt. | Ảnh cho thấy cận cảnh phần lá, nhấn mạnh tổn thương và cấu trúc mô lá.",vết cháy màu nâu | phiến lá xuất hiện đốm tròn | lá khô từng vùng | mép lá chuyển nâu,Ảnh chụp cận cảnh một phần phiến lá. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác.,0.2003,0.7997,0.017,0.86,medium,rainy,94,34,mild,tillering,Hai Duong,Tình trạng bệnh tăng nhanh trong tuần qua.
dataset/raw/BrownSpot/IMG_20190419_113157.jpg,BrownSpot,Đốm nâu,Các vết bệnh màu nâu đậm xuất hiện trên phiến lá lúa. | Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá. | Lá được chụp trên nền trắng giúp quan sát tổn thương rõ hơn.,đốm nâu nhỏ trên lá | vết cháy màu nâu | lá khô từng vùng | phiến lá xuất hiện đốm tròn,Phiến lá được chụp rõ ràng trên nền sáng trắng. | Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.5427,0.4573,0.3906,0.93,high,humid,83,29,severe,ripening,Dong Thap,Triệu chứng lan nhanh trên ruộng.
dataset/raw/BrownSpot/IMG_20190419_113206.jpg,BrownSpot,Đốm nâu,Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá. | Lá có các đốm nâu hình oval với viền vàng nhạt. | Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá.,lá khô từng vùng | mép lá chuyển nâu | đốm nâu nhỏ trên lá | phiến lá xuất hiện đốm tròn,Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.8675,0.1325,0.4352,0.93,high,rainy,64,33,severe,seedling,Long An,Triệu chứng lan nhanh trên ruộng.
dataset/raw/BrownSpot/IMG_20190419_113213.jpg,BrownSpot,Đốm nâu,Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá. | Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Xuất hiện nhiều chấm nâu nhỏ lan rộng trên lá. | Lá được chụp trên nền trắng giúp quan sát tổn thương rõ hơn.,mép lá chuyển nâu | phiến lá xuất hiện đốm tròn | vết cháy màu nâu | đốm nâu nhỏ trên lá,Phiến lá được chụp rõ ràng trên nền sáng trắng. | Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.5353,0.4647,0.327,0.93,high,cloudy,90,25,severe,flowering,An Giang,Ruộng có dấu hiệu lây lan.
dataset/raw/BrownSpot/IMG_20190419_113228.jpg,BrownSpot,Đốm nâu,Các vết bệnh màu nâu đậm xuất hiện trên phiến lá lúa. | Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều.,vết cháy màu nâu | mép lá chuyển nâu | đốm nâu nhỏ trên lá | phiến lá xuất hiện đốm tròn,Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác.,1.0,0.0,0.0094,0.86,medium,cloudy,66,22,mild,flowering,Can Tho,Triệu chứng lan nhanh trên ruộng.
dataset/raw/BrownSpot/IMG_20190419_113238.jpg,BrownSpot,Đốm nâu,Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá. | Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều. | Bề mặt lá xuất hiện các tổn thương màu nâu sẫm.,đốm nâu nhỏ trên lá | vết cháy màu nâu | phiến lá xuất hiện đốm tròn | mép lá chuyển nâu,Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.9364,0.0636,0.7596,0.93,high,humid,75,35,severe,seedling,Dong Thap,Triệu chứng lan nhanh trên ruộng.
dataset/raw/BrownSpot/IMG_20190419_113242.jpg,BrownSpot,Đốm nâu,Xuất hiện nhiều chấm nâu nhỏ lan rộng trên lá. | Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá. | Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Lá được chụp trên nền trắng giúp quan sát tổn thương rõ hơn.,mép lá chuyển nâu | lá khô từng vùng | vết cháy màu nâu | phiến lá xuất hiện đốm tròn,Phiến lá được chụp rõ ràng trên nền sáng trắng. | Ảnh chụp cận cảnh một phần phiến lá. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.4771,0.5229,0.2923,0.93,high,humid,90,25,severe,flowering,Thai Binh,Độ ẩm cao làm bệnh phát triển mạnh.
dataset/raw/BrownSpot/IMG_20190419_113249.jpg,BrownSpot,Đốm nâu,Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều. | Lá có các đốm nâu hình oval với viền vàng nhạt. | Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá.,phiến lá xuất hiện đốm tròn | mép lá chuyển nâu | lá khô từng vùng | đốm nâu nhỏ trên lá,Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.8207,0.1793,0.5832,0.93,high,rainy,72,26,severe,tillering,Thai Binh,Bệnh xuất hiện sau nhiều ngày ẩm ướt.
dataset/raw/BrownSpot/IMG_20190419_113311.jpg,BrownSpot,Đốm nâu,Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều. | Các vết bệnh màu nâu đậm xuất hiện trên phiến lá lúa. | Xuất hiện nhiều chấm nâu nhỏ lan rộng trên lá.,phiến lá xuất hiện đốm tròn | vết cháy màu nâu | lá khô từng vùng | đốm nâu nhỏ trên lá,Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.9905,0.0095,0.7957,0.93,high,rainy,92,23,severe,tillering,Nam Dinh,Triệu chứng lan nhanh trên ruộng.
dataset/raw/BrownSpot/IMG_20190419_113856.jpg,BrownSpot,Đốm nâu,Các vết bệnh màu nâu đậm xuất hiện trên phiến lá lúa. | Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều. | Lá có các đốm nâu hình oval với viền vàng nhạt. | Lá được chụp trên nền trắng giúp quan sát tổn thương rõ hơn.,lá khô từng vùng | mép lá chuyển nâu | đốm nâu nhỏ trên lá | vết cháy màu nâu,Phiến lá được chụp rõ ràng trên nền sáng trắng. | Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.5764,0.4236,0.3653,0.93,high,cloudy,65,28,severe,ripening,Can Tho,Cây sinh trưởng chậm hơn bình thường.
dataset/raw/BrownSpot/IMG_20190419_113902.jpg,BrownSpot,Đốm nâu,Bề mặt lá xuất hiện các tổn thương màu nâu sẫm. | Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá. | Lá được chụp trên nền trắng giúp quan sát tổn thương rõ hơn.,phiến lá xuất hiện đốm tròn | vết cháy màu nâu | lá khô từng vùng | mép lá chuyển nâu,Phiến lá được chụp rõ ràng trên nền sáng trắng. | Ảnh chụp cận cảnh một phần phiến lá. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.4645,0.5355,0.3121,0.93,high,humid,80,36,severe,seedling,Thai Binh,Tình trạng bệnh tăng nhanh trong tuần qua.
dataset/raw/BrownSpot/IMG_20190419_113926.jpg,BrownSpot,Đốm nâu,Lá có các đốm nâu hình oval với viền vàng nhạt. | Các vết bệnh màu nâu đậm xuất hiện trên phiến lá lúa. | Xuất hiện nhiều chấm nâu nhỏ lan rộng trên lá.,phiến lá xuất hiện đốm tròn | đốm nâu nhỏ trên lá | lá khô từng vùng | vết cháy màu nâu,Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.8469,0.1531,0.6194,0.93,high,rainy,82,36,severe,seedling,Long An,Nhiều lá xuất hiện triệu chứng tương tự.
dataset/raw/BrownSpot/IMG_20190419_113933.jpg,BrownSpot,Đốm nâu,Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá. | Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều. | Bề mặt lá xuất hiện các tổn thương màu nâu sẫm.,lá khô từng vùng | phiến lá xuất hiện đốm tròn | mép lá chuyển nâu | đốm nâu nhỏ trên lá,Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.6839,0.3161,0.428,0.93,high,cloudy,66,36,severe,tillering,Soc Trang,Triệu chứng lan nhanh trên ruộng.
dataset/raw/BrownSpot/IMG_20190419_114339.jpg,BrownSpot,Đốm nâu,"Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá. | Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều. | Lá được chụp trên nền trắng giúp quan sát tổn thương rõ hơn. | Ảnh cho thấy cận cảnh phần lá, nhấn mạnh tổn thương và cấu trúc mô lá.",lá khô từng vùng | đốm nâu nhỏ trên lá | mép lá chuyển nâu | vết cháy màu nâu,Phiến lá được chụp rõ ràng trên nền sáng trắng. | Ảnh chụp cận cảnh một phần phiến lá. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.3387,0.6613,0.1072,0.93,high,cloudy,81,25,severe,booting,Dong Thap,Cây sinh trưởng chậm hơn bình thường.
dataset/raw/BrownSpot/IMG_20190419_114347.jpg,BrownSpot,Đốm nâu,"Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá. | Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Các vết bệnh màu nâu đậm xuất hiện trên phiến lá lúa. | Lá được chụp trên nền trắng giúp quan sát tổn thương rõ hơn. | Ảnh cho thấy cận cảnh phần lá, nhấn mạnh tổn thương và cấu trúc mô lá.",lá khô từng vùng | vết cháy màu nâu | mép lá chuyển nâu | đốm nâu nhỏ trên lá,Phiến lá được chụp rõ ràng trên nền sáng trắng. | Ảnh chụp cận cảnh một phần phiến lá. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.3505,0.6495,0.1371,0.93,high,rainy,76,24,severe,flowering,An Giang,Bệnh xuất hiện sau nhiều ngày ẩm ướt.
dataset/raw/BrownSpot/IMG_20190419_114429.jpg,BrownSpot,Đốm nâu,Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều. | Các vết bệnh màu nâu đậm xuất hiện trên phiến lá lúa. | Lá lúa xuất hiện nhiều đốm nâu nhỏ rải rác trên bề mặt lá.,phiến lá xuất hiện đốm tròn | mép lá chuyển nâu | lá khô từng vùng | đốm nâu nhỏ trên lá,Ảnh chụp cận cảnh một phần phiến lá. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.4471,0.5529,0.0411,0.93,high,rainy,79,27,moderate,seedling,Can Tho,Ruộng có dấu hiệu lây lan.
dataset/raw/BrownSpot/IMG_20190419_124201.jpg,BrownSpot,Đốm nâu,Các vết bệnh màu nâu đậm xuất hiện trên phiến lá lúa. | Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều. | Lá có các đốm nâu hình oval với viền vàng nhạt. | Các đốm nâu nhỏ phân bố trên phiến lá và liên kết thành vùng bệnh.,vết cháy màu nâu | lá khô từng vùng | đốm nâu nhỏ trên lá | mép lá chuyển nâu,Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Trên phiến lá xuất hiện nhiều đốm nâu nhỏ hoặc các vết bệnh rải rác. | Các vết nâu/tổn thương chiếm tỷ lệ lớn trên phần lá được quan sát. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.9739,0.0261,0.5916,0.93,high,rainy,70,34,severe,tillering,An Giang,Bệnh xuất hiện sau nhiều ngày ẩm ướt.
dataset/raw/BrownSpot/IMG_20190419_124207.jpg,BrownSpot,Đốm nâu,Các đốm bệnh màu nâu bắt đầu lan rộng trên phiến lá. | Xuất hiện nhiều chấm nâu nhỏ lan rộng trên lá. | Lá có các đốm nâu hình oval với viền vàng nhạt. | Các đốm nâu nhỏ phân bố trên phiến lá và liên kết thành vùng bệnh.,vết cháy màu nâu | phiến lá xuất hiện đốm tròn | đốm nâu nhỏ trên lá | lá khô từng vùng,Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Trên phiến lá xuất hiện nhiều đốm nâu nhỏ hoặc các vết bệnh rải rác. | Các vết nâu/tổn thương chiếm tỷ lệ lớn trên phần lá được quan sát. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.9228,0.0772,0.6974,0.93,high,humid,62,35,severe,flowering,Long An,Ruộng có dấu hiệu lây lan.
dataset/raw/BrownSpot/IMG_20190419_124212.jpg,BrownSpot,Đốm nâu,Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều. | Bề mặt lá xuất hiện các tổn thương màu nâu sẫm. | Xuất hiện nhiều chấm nâu nhỏ lan rộng trên lá. | Các đốm nâu nhỏ phân bố trên phiến lá và liên kết thành vùng bệnh.,đốm nâu nhỏ trên lá | phiến lá xuất hiện đốm tròn | vết cháy màu nâu | mép lá chuyển nâu,Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Trên phiến lá xuất hiện nhiều đốm nâu nhỏ hoặc các vết bệnh rải rác. | Các vết nâu/tổn thương chiếm tỷ lệ lớn trên phần lá được quan sát. | Biểu hiện vết trắng rõ rệt trên bề mặt lá.,0.988,0.012,0.725,0.93,high,humid,81,26,severe,seedling,Soc Trang,Nhiều lá xuất hiện triệu chứng tương tự.
dataset/raw/BrownSpot/IMG_20190419_133426.jpg,BrownSpot,Đốm nâu,Lá bị cháy nhẹ với nhiều đốm nâu phân bố không đều. | Lá có các đốm nâu hình oval với viền vàng nhạt. | Xuất hiện nhiều chấm nâu nhỏ lan rộng trên lá.,mép lá chuyển nâu | vết cháy màu nâu | phiến lá xuất hiện đốm tròn | đốm nâu nhỏ trên lá,Ảnh chứa phần lớn phiến lá và cho thấy cấu trúc lá rõ ràng. | Lá có dấu hiệu bệnh đốm nâu ở mức độ nhẹ với vết nâu rải rác.,0.7297,0.2703,0.0054,0.74,low,cloudy,76,22,mild,seedling,An Giang,Nhiều lá xuất hiện triệu chứng tương tự.
